particle,step,energy,pos_x,pos_y,pos_z,cell,material,macro_total,d_coll,d_surf,event,hit_nuc,micro_el,micro_inel,micro_fis,micro_cap,out_energy,rng_xi
0,0,1.00000000e6,-3.01708253e-1,6.81082838e-2,5.51386259e-1,0.00000000e0,0.00000000e0,1.03426879e0,3.36410147e-1,1.83997699e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,7.06142292e-1
0,1,1.00000000e6,-4.09555808e-1,6.01702822e-3,4.15854942e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.44038279e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,0.00000000e0
0,2,1.00000000e6,-4.17998406e-1,1.15635694e-3,4.05245184e-1,2.00000000e0,1.00000000e0,5.48692979e-1,3.04134592e0,9.55137770e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,1.88479666e-1
0,3,1.00000000e6,-4.73982410e-1,-3.10754082e-2,3.34890453e-1,3.00000000e0,2.00000000e0,8.23694015e-1,3.00905745e0,2.66180158e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,8.38653610e-2
0,4,1.00000000e6,-6.30000000e-1,-1.20899680e-1,1.38824168e-1,3.00000000e0,2.00000000e0,8.23694015e-1,5.25589157e-1,3.87553390e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,6.48609368e-1
0,5,1.00000000e6,-4.02841267e-1,-2.51682162e-1,-1.46644728e-1,2.00000000e0,1.00000000e0,5.48692979e-1,3.28154862e-1,6.56204520e-1,5.00000000e0,4.00000000e0,6.25592121e0,0.00000000e0,0.00000000e0,6.27031924e0,1.00000000e6,8.35223213e-1
1,0,1.00000000e6,1.68871766e-1,-1.84168689e-1,-3.92515621e-1,0.00000000e0,0.00000000e0,1.03426879e0,4.06373169e-1,4.84151073e-1,5.00000000e0,1.00000000e0,4.70757311e0,0.00000000e0,1.35513671e-2,7.19636817e0,1.00000000e6,6.56850337e-1
2,0,1.00000000e6,-1.48834399e-1,-3.40897496e-1,2.18148854e-1,0.00000000e0,0.00000000e0,1.03426879e0,1.17158971e0,4.62145248e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,2.97679265e-1
2,1,1.00000000e6,2.82487381e-1,-2.96602502e-1,3.78079200e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.43899663e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,0.00000000e0
2,2,1.00000000e6,2.95917596e-1,-2.95223273e-1,3.83059006e-1,2.00000000e0,1.00000000e0,5.48692979e-1,1.91902999e0,8.87011634e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,3.48904063e-1
2,3,1.00000000e6,3.78702710e-1,-2.86721579e-1,4.13755003e-1,3.00000000e0,2.00000000e0,8.23694015e-1,3.68007864e-1,2.69255707e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,7.38506131e-1
2,4,1.00000000e6,6.30000000e-1,-2.60914368e-1,5.06933841e-1,3.00000000e0,2.00000000e0,8.23694015e-1,4.47978597e-1,2.34825062e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,6.91427285e-1
2,5,1.00000000e6,4.10836942e-1,-2.38407212e-1,5.88197587e-1,2.00000000e0,1.00000000e0,5.48692979e-1,1.98245035e-1,6.75907920e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,8.96931614e-1
2,6,1.00000000e6,3.47754211e-1,-2.31928872e-1,6.11588112e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.01539739e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,0.00000000e0
2,7,1.00000000e6,3.38277462e-1,-2.30955649e-1,6.15102007e-1,0.00000000e0,0.00000000e0,1.03426879e0,1.52069716e-1,4.30502210e-2,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,8.54463954e-1
2,8,1.00000000e6,2.98098541e-1,-2.26829437e-1,6.30000000e-1,0.00000000e0,0.00000000e0,1.03426879e0,1.96788455e-2,7.24583785e-1,0.00000000e0,2.00000000e0,8.15215462e0,9.99997038e-31,0.00000000e0,8.15235401e0,8.08110819e5,9.79852513e-1
2,9,8.08110819e5,2.79732206e-1,-2.24943289e-1,6.23189924e-1,0.00000000e0,0.00000000e0,5.51497875e-1,3.42677989e0,8.10155088e-3,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,8.08110819e5,1.51092684e-1
2,10,8.08110819e5,2.82852289e-1,-2.28029235e-1,6.30000000e-1,0.00000000e0,0.00000000e0,5.51497875e-1,3.11585158e0,8.58265678e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,8.08110819e5,1.79355479e-1
2,11,8.08110819e5,3.15905969e-1,-2.60721275e-1,5.57855102e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.55691208e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,8.08110819e5,0.00000000e0
2,12,8.08110819e5,3.21901980e-1,-2.66651683e-1,5.44767858e-1,2.00000000e0,1.00000000e0,5.75511013e-1,3.62334935e0,1.05589804e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,8.08110819e5,1.24272636e-1
2,13,8.08110819e5,3.62566911e-1,-3.06871699e-1,4.56010197e-1,3.00000000e0,2.00000000e0,6.07000670e-1,1.92623257e0,6.94411844e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,8.08110819e5,3.10607737e-1
2,14,8.08110819e5,6.30000000e-1,-5.71378801e-1,-1.27704926e-1,3.00000000e0,2.00000000e0,6.07000670e-1,4.86979943e-1,1.53898532e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,8.08110819e5,7.44087122e-1
2,15,8.08110819e5,5.70730331e-1,-6.30000000e-1,-2.57070376e-1,3.00000000e0,2.00000000e0,6.07000670e-1,6.65613235e-2,4.43652627e-1,0.00000000e0,3.00000000e0,4.75718142e0,0.00000000e0,0.00000000e0,4.78170550e0,5.11986344e4,9.60402542e-1
2,16,5.11986344e4,5.45096120e-1,-6.04646252e-1,-3.13021109e-1,3.00000000e0,2.00000000e0,1.72306638e0,6.21790258e-1,1.15612383e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,5.11986344e4,3.42533475e-1
2,17,5.11986344e4,6.30000000e-1,-6.13821392e-1,-3.90952945e-1,3.00000000e0,2.00000000e0,1.72306638e0,1.96469213e-1,2.03860371e-1,0.00000000e0,3.00000000e0,1.54944684e1,0.00000000e0,0.00000000e0,1.55817701e1,1.67959111e4,7.12817753e-1
2,18,1.67959111e4,4.85716160e-1,-6.29413429e-1,-5.23388642e-1,3.00000000e0,2.00000000e0,2.02238930e0,1.38547101e-1,4.24436610e-1,0.00000000e0,3.00000000e0,1.84283443e1,0.00000000e0,0.00000000e0,1.86224484e1,1.63711897e4,7.55635491e-1
2,19,1.63711897e4,3.58767714e-1,-5.75754270e-1,-5.09243474e-1,3.00000000e0,2.00000000e0,2.02457023e0,9.03368787e-1,4.16599389e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.63711897e4,1.60584731e-1
2,20,1.63711897e4,-4.44634298e-2,-4.72914371e-1,-4.89656260e-1,2.00000000e0,1.00000000e0,3.24589254e-1,4.85785416e-1,1.47736440e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.63711897e4,8.54122438e-1
2,21,1.63711897e4,-1.87459166e-1,-4.36444799e-1,-4.82710149e-1,3.00000000e0,2.00000000e0,2.02457023e0,6.21822228e-1,4.57212317e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.63711897e4,2.83959751e-1
2,22,1.63711897e4,-6.30000000e-1,-3.23579373e-1,-4.61213441e-1,3.00000000e0,2.00000000e0,2.02457023e0,5.37381074e-1,2.42688923e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.63711897e4,3.36901146e-1
2,23,1.63711897e4,-3.95098710e-1,-2.63670249e-1,-4.49802958e-1,2.00000000e0,1.00000000e0,3.39489458e-1,4.20728576e0,6.10228682e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.63711897e4,2.39709103e-1
2,24,1.63711897e4,-3.36033995e-1,-2.48606409e-1,-4.46933851e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,9.09729702e-3,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.63711897e4,0.00000000e0
2,25,1.63711897e4,-3.27228611e-1,-2.46360688e-1,-4.46506124e-1,0.00000000e0,0.00000000e0,8.44092060e-1,7.27647040e-1,7.56760282e-1,0.00000000e0,2.00000000e0,3.81600707e0,9.99997038e-31,0.00000000e0,3.81912937e0,1.48795528e4,5.41072992e-1
2,26,1.48795528e4,3.77068968e-1,-6.67369331e-2,-4.12294412e-1,0.00000000e0,0.00000000e0,1.10073399e0,3.40434450e-2,4.66459407e-2,5.00000000e0,2.00000000e0,3.81933861e0,9.99997038e-31,0.00000000e0,3.82452847e0,1.48795528e4,9.63220639e-1
3,0,1.00000000e6,1.21740794e-1,1.08605959e-1,4.22381249e-1,0.00000000e0,0.00000000e0,1.03426879e0,1.97697187e-1,3.47185586e-1,5.00000000e0,2.00000000e0,8.15215462e0,9.99997038e-31,0.00000000e0,8.15235401e0,1.00000000e6,8.15077540e-1
4,0,1.00000000e6,-1.75365997e-1,2.68035304e-1,3.85179922e-1,0.00000000e0,0.00000000e0,1.03426879e0,2.41732299e0,1.08122981e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,8.20717248e-2
4,1,1.00000000e6,-1.70679096e-1,3.72345019e-1,4.13252997e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,9.75387109e-3,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,0.00000000e0
4,2,1.00000000e6,-1.70256286e-1,3.81754901e-1,4.15785496e-1,2.00000000e0,1.00000000e0,5.48692979e-1,1.58033666e0,6.50502789e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,4.20160025e-1
4,3,1.00000000e6,-1.67436495e-1,4.44511000e-1,4.32675166e-1,3.00000000e0,2.00000000e0,8.23694015e-1,2.36122201e0,1.92269968e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,1.42998028e-1
4,4,1.00000000e6,-1.59102002e-1,6.30000000e-1,4.82596178e-1,3.00000000e0,2.00000000e0,8.23694015e-1,5.19719071e-1,1.86217673e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,6.51753088e-1
4,5,1.00000000e6,-1.51029862e-1,4.50349833e-1,5.30945774e-1,2.00000000e0,1.00000000e0,5.48692979e-1,4.49201943e-1,6.17393157e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,7.81551719e-1
4,6,1.00000000e6,-1.48353594e-1,3.90787926e-1,5.46975784e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,9.16736994e-3,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,0.00000000e0
4,7,1.00000000e6,-1.47956208e-1,3.81943861e-1,5.49356005e-1,0.00000000e0,0.00000000e0,1.03426879e0,3.33716999e0,3.10599040e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,3.16970785e-2
4,8,1.00000000e6,-1.34492402e-1,8.22990121e-2,6.30000000e-1,0.00000000e0,0.00000000e0,1.03426879e0,2.55268308e-1,4.93373325e-1,0.00000000e0,2.00000000e0,8.15215462e0,9.99997038e-31,0.00000000e0,8.15235401e0,7.78043668e5,7.67961219e-1
4,9,7.78043668e5,-1.23427065e-1,-1.63966506e-1,5.63722087e-1,0.00000000e0,0.00000000e0,5.56143950e-1,1.43589753e0,3.27338026e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.78043668e5,4.49973887e-1
4,10,7.78043668e5,-1.86281516e-1,1.50368887e-1,6.30000000e-1,0.00000000e0,0.00000000e0,5.56143950e-1,6.22617882e-1,2.00046197e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.78043668e5,7.07324902e-1
4,11,7.78043668e5,-2.24693780e-1,3.42468791e-1,5.89495555e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,9.23370867e-3,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.78043668e5,0.00000000e0
4,12,7.78043668e5,-2.26466811e-1,3.51335724e-1,5.87625953e-1,2.00000000e0,1.00000000e0,6.03547458e-1,1.57742735e0,6.19855595e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.78043668e5,3.85948143e-1
4,13,7.78043668e5,-2.38369091e-1,4.10859082e-1,5.75075397e-1,3.00000000e0,2.00000000e0,6.20469108e-1,4.01123120e0,2.28205786e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.78043668e5,8.30057793e-2
4,14,7.78043668e5,-2.82188472e-1,6.30000000e-1,5.28869329e-1,3.00000000e0,2.00000000e0,6.20469108e-1,3.10985451e-1,3.13126627e-1,0.00000000e0,3.00000000e0,4.85639233e0,0.00000000e0,0.00000000e0,4.95685656e0,6.11922534e5,8.24517539e-1
4,15,6.11922534e5,-3.41902951e-1,3.31367619e-1,4.65902410e-1,3.00000000e0,2.00000000e0,7.00907143e-1,4.47458976e-2,1.06779511e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,6.11922534e5,9.69123989e-1
4,16,6.11922534e5,-3.48379351e-1,3.22888257e-1,4.65483449e-1,2.00000000e0,1.00000000e0,6.72079313e-1,1.17842060e0,9.03515273e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,6.11922534e5,4.52941588e-1
4,17,6.11922534e5,-4.03179388e-1,2.51140164e-1,4.61938408e-1,3.00000000e0,2.00000000e0,7.00907143e-1,1.87786091e0,3.73970386e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,6.11922534e5,2.68150705e-1
4,18,6.11922534e5,-6.30000000e-1,-4.58294621e-2,4.47265271e-1,3.00000000e0,2.00000000e0,7.00907143e-1,3.30136778e-1,7.35639145e-1,5.00000000e0,8.00000000e0,3.05640809e0,9.99997038e-31,0.00000000e0,3.10839855e0,6.11922534e5,7.93425821e-1
5,0,1.00000000e6,9.38143370e-2,-2.61959427e-1,5.72437189e-1,0.00000000e0,0.00000000e0,1.03426879e0,1.51291825e0,1.81363850e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e6,2.09137339e-1
5,1,1.00000000e6,-3.49889180e-2,-1.47989737e-1,6.30000000e-1,0.00000000e0,0.00000000e0,1.03426879e0,3.09457719e-2,4.83940786e-1,0.00000000e0,2.00000000e0,8.15215462e0,9.99997038e-31,0.00000000e0,8.15235401e0,7.98995169e5,9.68500533e-1
5,2,7.98995169e5,-5.69663746e-2,-1.28543303e-1,6.20178166e-1,0.00000000e0,0.00000000e0,5.52655397e-1,8.66597858e-1,1.42673009e-2,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,6.19445855e-1
5,3,7.98995169e5,-5.46832133e-2,-1.38636600e-1,6.30000000e-1,0.00000000e0,0.00000000e0,5.52655397e-1,4.88034018e-1,3.82943100e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,7.63597368e-1
5,4,7.98995169e5,6.59823764e-3,-4.09546858e-1,3.66375948e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.18269598e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,0.00000000e0
5,5,7.98995169e5,8.49087874e-3,-4.17913760e-1,3.58234077e-1,2.00000000e0,1.00000000e0,5.83444972e-1,2.26815748e0,8.00186611e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,2.66243207e-1
5,6,7.98995169e5,2.12960713e-2,-4.74522375e-1,3.03147966e-1,3.00000000e0,2.00000000e0,6.16761878e-1,2.29933769e0,2.19774200e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,7.98995169e5,2.42163095e-1
